2020-11-03 21:16:30.583 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.20.Final
2020-11-03 21:16:30.612 [main] INFO  com.atshop.auth.repository.DeptRepositoryTest - Starting DeptRepositoryTest on DESKTOP-7OTCI56 with PID 14136 (started by Administrator in D:\code\atshop\at-web\at-auth)
2020-11-03 21:16:30.614 [main] INFO  com.atshop.auth.repository.DeptRepositoryTest - No active profile set, falling back to default profiles: default
2020-11-03 21:16:31.938 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-03 21:16:31.942 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-11-03 21:16:32.202 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 250ms. Found 8 JPA repository interfaces.
2020-11-03 21:16:32.674 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@7d685f4e' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-03 21:16:32.698 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-03 21:16:32.713 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.atshop.auth.config.RedisConfig$$EnhancerBySpringCGLIB$$ce29906e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-03 21:16:33.385 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-11-03 21:16:33.458 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.21.Final
2020-11-03 21:16:33.675 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-11-03 21:16:34.288 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-11-03 21:16:34.748 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
